variable,N,mean,sd,min,p1,p25,p50,p75,p99,max
leverage_consolidated,46728.0,0.4343073363878919,0.883067315710883,0.00835912076807437,0.0556853584158149,0.24967509001578972,0.40877235070660606,0.577894705605545,0.9617751459637821,178.34547318229835
roa_eop_consolidated,46728.0,0.019978732072683712,0.282713112249315,-30.68822664652439,-0.35490573532521585,0.00784086113912263,0.03176849151945774,0.062426942336381054,0.19188887061770613,7.446082324376869
roa_parent_income_eop_candidate,46728.0,0.019390422048336683,0.27364077469678666,-30.68822664652439,-0.34596920894984534,0.007371372977901197,0.029761608488128352,0.06008189958885551,0.18616276344453442,7.446082324376869
roa_avg_consolidated,44383.0,0.02587298918625391,0.12273034502317684,-9.116923553262982,-0.3035003528553057,0.007109725065377279,0.031178033040990313,0.063971172547194,0.21252055404588419,12.211067880245798
roa_parent_income_avg_candidate,44383.0,0.024799470683546255,0.12052244888355865,-9.116923553262982,-0.2962810868718532,0.0067144558467947865,0.029158061482203894,0.061238851910814796,0.20610696373525889,12.077950940930771
roe_eop_consolidated,46728.0,0.02715812367112313,5.023194574533337,-207.39706788252045,-1.3864160172693727,0.017573310716678683,0.0605145487296818,0.10504597570643763,0.4326873952430494,943.6241428327268
roe_avg_consolidated,44383.0,0.026188823620168417,1.6772623383244403,-174.89471977397767,-1.0961336542760012,0.015375132791942806,0.06003815869685156,0.11000140543268916,0.442191128842719,84.32794946513967
roe_parent_eop_consolidated,46728.0,-0.0051100314065536225,2.0863595984495253,-235.0960105437213,-1.5567275104567033,0.017671543867489075,0.0605160778992484,0.10526866671559851,0.47221370840947774,121.14212438260729
roe_parent_avg_consolidated,44383.0,-0.013555261479952126,6.6170879462658725,-1305.2144551515155,-1.1762943925935911,0.015520935559037977,0.05990303303723278,0.11023174003314057,0.47682248140362554,125.99906396939683
annual_stock_return,43845.0,0.10744350058159426,0.5594735856047498,-0.98436,-0.61768804,-0.213038,-0.005549,0.264879,2.175803919999997,18.206161
cash,46389.0,3217855439.847778,16474232566.85574,0.0,20512594.2424,255268923.33,599453497.5,1552802386.96,54385778005.9387,745679000000.0
chair_ceo_code,45342.0,1.6697322570685016,0.4703146173550039,1.0,1.0,1.0,2.0,2.0,2.0,2.0
current_assets,45881.0,9767198421.222977,53916071089.64938,0.0,178648796.502,1008764262.12,2069316680.76,4911884472.22,137954031996.63562,2606516717000.0
current_liabilities,45881.0,8003745900.705082,46982332641.30038,0.0,39919817.5,405847302.03,1130808438.71,3473309131.29,119766963289.21564,2065876652000.0
employees,46660.0,6067.830518645521,24027.036749682866,2.0,102.59000000000003,786.0,1736.0,4262.0,76186.09999999996,968872.0
financing_cash_flow,46540.0,317394215.1640097,10327356474.194557,-397583000000.0,-10024142969.2056,-166439789.445,-13826677.149999999,236479848.395,14210782676.809708,415683000000.0
fixed_assets,46725.0,4267284821.0177727,23633960824.16668,0.0,3472258.8712,207366623.17,573031457.31,1699294941.78,67701459840.000404,770264000000.0
