table,fiscal_year,match,N
balance_A,2014,right_only,67
balance_A,2014,both,2631
balance_A,2015,right_only,173
balance_A,2015,both,2823
balance_A,2016,left_only,1
balance_A,2016,right_only,72
balance_A,2016,both,3262
balance_A,2017,right_only,77
balance_A,2017,both,3648
balance_A,2018,right_only,81
balance_A,2018,both,3750
balance_A,2019,right_only,79
balance_A,2019,both,3960
balance_A,2020,right_only,83
balance_A,2020,both,4413
balance_A,2021,right_only,87
balance_A,2021,both,4835
balance_A,2022,right_only,58
balance_A,2022,both,5135
balance_A,2023,right_only,1
balance_A,2023,both,5354
balance_A,2024,right_only,1
balance_A,2024,both,5400
balance_A,2025,both,5494
balance_B,2014,left_only,74
balance_B,2014,both,2624
balance_B,2015,left_only,105
balance_B,2015,both,2891
balance_B,2016,left_only,111
balance_B,2016,both,3224
balance_B,2017,left_only,101
balance_B,2017,both,3624
balance_B,2018,left_only,87
balance_B,2018,both,3744
balance_B,2019,left_only,80
balance_B,2019,both,3959
balance_B,2020,left_only,84
balance_B,2020,both,4412
balance_B,2021,left_only,84
balance_B,2021,both,4838
balance_B,2022,left_only,84
balance_B,2022,both,5109
balance_B,2023,left_only,70
balance_B,2023,both,5285
balance_B,2024,left_only,63
balance_B,2024,both,5338
balance_B,2025,left_only,58
balance_B,2025,both,5436
income_A,2014,both,2698
income_A,2015,both,2996
income_A,2016,left_only,1
income_A,2016,both,3334
income_A,2017,both,3725
income_A,2018,both,3831
income_A,2019,both,4039
income_A,2020,both,4496
income_A,2021,both,4922
income_A,2022,both,5193
income_A,2023,both,5355
income_A,2024,both,5401
income_A,2025,both,5494
income_B,2014,left_only,74
income_B,2014,both,2624
income_B,2015,left_only,105
income_B,2015,both,2891
income_B,2016,left_only,111
income_B,2016,both,3224
income_B,2017,left_only,102
income_B,2017,both,3623
income_B,2018,left_only,87
income_B,2018,both,3744
income_B,2019,left_only,80
income_B,2019,both,3959
income_B,2020,left_only,84
income_B,2020,both,4412
income_B,2021,left_only,84
income_B,2021,both,4838
income_B,2022,left_only,85
income_B,2022,both,5108
income_B,2023,left_only,70
income_B,2023,both,5285
income_B,2024,left_only,63
income_B,2024,both,5338
income_B,2025,left_only,58
income_B,2025,both,5436
cashflow_A,2014,both,2698
cashflow_A,2015,both,2996
cashflow_A,2016,left_only,1
cashflow_A,2016,both,3334
cashflow_A,2017,both,3725
cashflow_A,2018,both,3831
cashflow_A,2019,both,4039
cashflow_A,2020,both,4496
cashflow_A,2021,both,4922
cashflow_A,2022,left_only,1
cashflow_A,2022,both,5192
cashflow_A,2023,both,5355
cashflow_A,2024,both,5401
cashflow_A,2025,both,5494
cashflow_B,2014,left_only,75
cashflow_B,2014,both,2623
cashflow_B,2015,left_only,106
