fiscal_year,leverage_consolidated,roa_eop_consolidated,roa_parent_income_eop_candidate,roa_avg_consolidated,roa_parent_income_avg_candidate,roe_eop_consolidated,roe_avg_consolidated,roe_parent_eop_consolidated,roe_parent_avg_consolidated,annual_stock_return,cash,chair_ceo_code,current_assets,current_liabilities,employees,financing_cash_flow,fixed_assets,inventory,investing_cash_flow,market_type,market_value_thousand,net_income,operating_cash_flow,operating_profit,parent_equity,parent_net_income,rd_expense,revenue,shares_held,top1_ownership_pct,total_assets,total_equity,total_liabilities,total_profit,top1,actual_announcement_date,firm_id,industry_code
2015,0.0017755681818181818,0.0017755681818181818,0.0017755681818181818,0.06640625,0.06640625,0.0017755681818181818,0.06640625,0.0017755681818181818,0.06640625,0.08096590909090909,0.0017755681818181818,0.03799715909090909,0.0017755681818181818,0.0017755681818181818,0.002840909090909091,0.0017755681818181818,0.0017755681818181818,0.0017755681818181818,0.0017755681818181818,0.0017755681818181818,0.0017755681818181818,0.0017755681818181818,0.0017755681818181818,0.0017755681818181818,0.0017755681818181818,0.0017755681818181818,1.0,0.018465909090909092,0.002840909090909091,0.002840909090909091,0.0017755681818181818,0.0017755681818181818,0.0017755681818181818,0.0017755681818181818,0.002840909090909091,0.002840909090909091,0.0,0.002840909090909091
2016,0.000986842105263158,0.000986842105263158,0.000986842105263158,0.07138157894736842,0.07138157894736842,0.000986842105263158,0.07138157894736842,0.000986842105263158,0.07138157894736842,0.07697368421052632,0.000986842105263158,0.03684210526315789,0.018421052631578946,0.018421052631578946,0.001973684210526316,0.005592105263157895,0.000986842105263158,0.03355263157894737,0.000986842105263158,0.002302631578947368,0.002302631578947368,0.000986842105263158,0.000986842105263158,0.000986842105263158,0.000986842105263158,0.000986842105263158,0.9986842105263158,0.02006578947368421,0.001973684210526316,0.001973684210526316,0.000986842105263158,0.000986842105263158,0.000986842105263158,0.000986842105263158,0.001973684210526316,0.001973684210526316,0.0,0.001973684210526316
2017,0.0011510791366906475,0.0011510791366906475,0.0011510791366906475,0.10273381294964029,0.10273381294964029,0.0011510791366906475,0.10273381294964029,0.0011510791366906475,0.10273381294964029,0.1289208633093525,0.008633093525179856,0.03079136690647482,0.018992805755395685,0.018992805755395685,0.002014388489208633,0.009784172661870504,0.0011510791366906475,0.036546762589928054,0.0011510791366906475,0.0028776978417266188,0.0028776978417266188,0.0011510791366906475,0.0011510791366906475,0.0011510791366906475,0.0011510791366906475,0.0011510791366906475,0.9959712230215827,0.019280575539568346,0.002014388489208633,0.002014388489208633,0.0011510791366906475,0.0011510791366906475,0.0011510791366906475,0.0011510791366906475,0.002014388489208633,0.002014388489208633,0.0,0.002014388489208633
2018,0.0025139664804469273,0.0025139664804469273,0.0025139664804469273,0.02569832402234637,0.02569832402234637,0.0025139664804469273,0.02569832402234637,0.0025139664804469273,0.02569832402234637,0.032681564245810056,0.010893854748603353,0.03966480446927374,0.022905027932960894,0.022905027932960894,0.0033519553072625698,0.0111731843575419,0.0025139664804469273,0.03910614525139665,0.0033519553072625698,0.002793296089385475,0.002793296089385475,0.0025139664804469273,0.0025139664804469273,0.0025139664804469273,0.0025139664804469273,0.0025139664804469273,0.14748603351955308,0.02346368715083799,0.003072625698324022,0.003072625698324022,0.0025139664804469273,0.0025139664804469273,0.0025139664804469273,0.0025139664804469273,0.003072625698324022,0.003072625698324022,0.0,0.003072625698324022
2019,0.003711558854718982,0.003711558854718982,0.003711558854718982,0.051166489925768825,0.051166489925768825,0.003711558854718982,0.051166489925768825,0.003711558854718982,0.051166489925768825,0.05540827147401909,0.013255567338282079,0.025980911983032873,0.025980911983032873,0.025980911983032873,0.003976670201484623,0.012725344644750796,0.003976670201484623,0.04109225874867444,0.004772004241781549,0.001325556733828208,0.001325556733828208,0.003711558854718982,0.003711558854718982,0.003711558854718982,0.003711558854718982,0.003711558854718982,0.12990455991516436,0.026246023329798515,0.003976670201484623,0.003976670201484623,0.003711558854718982,0.003711558854718982,0.003711558854718982,0.003711558854718982,0.003976670201484623,0.003976670201484623,0.0,0.003976670201484623
2020,0.005473584007615421,0.005473584007615421,0.005473584007615421,0.09019514516896716,0.09019514516896716,0.005473584007615421,0.09019514516896716,0.005473584007615421,0.09019514516896716,0.10566396953831508,0.014516896715849596,0.05116611137553546,0.026653974297953357,0.026653974297953357,0.016420752022846263,0.012613041408852927,0.005711565920990005,0.04236078058067587,0.005949547834364588,0.0016658733936220848,0.0016658733936220848,0.005473584007615421,0.005473584007615421,0.005473584007615421,0.005473584007615421,0.005473584007615421,0.11518324607329843,0.027367920038077104,0.0159447881960971,0.01618277010947168,0.005473584007615421,0.005473584007615421,0.005473584007615421,0.005473584007615421,0.0159447881960971,0.006425511661113755,0.0,0.006425511661113755
2021,0.005096623486939902,0.005096623486939902,0.005096623486939902,0.08324485028668507,0.08324485028668507,0.005096623486939902,0.08324485028668507,0.005096623486939902,0.08324485028668507,0.11297515396050117,0.013803355277128903,0.03206625610533022,0.02527075812274368,0.02527075812274368,0.006158420046719048,0.00849437247823317,0.005308982798895732,0.0399235506476959,0.005308982798895732,0.0016988744956466342,0.0016988744956466342,0.005096623486939902,0.005096623486939902,0.005096623486939902,0.005096623486939902,0.005096623486939902,0.09832236143554896,0.02590783605861117,0.005946060734763219,0.005946060734763219,0.005096623486939902,0.005096623486939902,0.005096623486939902,0.005096623486939902,0.005946060734763219,0.005946060734763219,0.0,0.005946060734763219
2022,0.009980430528375734,0.009980430528375734,0.009980430528375734,0.06223091976516634,0.06223091976516634,0.009980430528375734,0.06223091976516634,0.009980430528375734,0.06223091976516634,0.08395303326810176,0.018199608610567516,0.039921722113502936,0.028962818003913895,0.028962818003913895,0.010371819960861057,0.012328767123287671,0.009980430528375734,0.04207436399217221,0.009980430528375734,0.00019569471624266145,0.00019569471624266145,0.009980430528375734,0.009980430528375734,0.009980430528375734,0.009980430528375734,0.009980430528375734,0.08767123287671233,0.029941291585127202,0.010176125244618396,0.010176125244618396,0.009980430528375734,0.009980430528375734,0.009980430528375734,0.009980430528375734,0.010176125244618396,0.010176125244618396,0.0,0.010176125244618396
2023,0.010778665675524995,0.010778665675524995,0.010778665675524995,0.04571640958929567,0.04571640958929567,0.010778665675524995,0.04571640958929567,0.010778665675524995,0.04571640958929567,0.058353465898531874,0.01858390633711206,0.034194387660286193,0.028990893885894816,0.028990893885894816,0.010964504738896116,0.012637056309236202,0.010778665675524995,0.04032707675153317,0.010964504738896116,0.00018583906337112061,0.00018583906337112061,0.010778665675524995,0.010778665675524995,0.010778665675524995,0.010778665675524995,0.010778665675524995,0.07916744099609738,0.029548411076008176,0.010964504738896116,0.010964504738896116,0.010778665675524995,0.010778665675524995,0.010778665675524995,0.010778665675524995,0.010964504738896116,0.010964504738896116,0.0,0.010964504738896116
2024,0.011409642988590356,0.011409642988590356,0.011409642988590356,0.02410747147589253,0.02410747147589253,0.011409642988590356,0.02410747147589253,0.011409642988590356,0.02410747147589253,0.018770702981229296,0.019138755980861243,0.03257269046742731,0.029260213470739788,0.029260213470739788,0.01159366948840633,0.012881854987118146,0.011409642988590356,0.03919764446080236,0.011409642988590356,0.000368052999631947,0.000368052999631947,0.011409642988590356,0.011409642988590356,0.011409642988590356,0.011409642988590356,0.011409642988590356,0.07471475892528524,0.02944423997055576,0.01159366948840633,0.01159366948840633,0.011409642988590356,0.011409642988590356,0.011409642988590356,0.011409642988590356,0.01159366948840633,0.01159366948840633,0.0,0.01159366948840633
2025,0.006909090909090909,0.006909090909090909,0.006909090909090909,0.022545454545454546,0.022545454545454546,0.006909090909090909,0.022545454545454546,0.006909090909090909,0.022545454545454546,0.021272727272727273,0.014545454545454545,0.03272727272727273,0.02490909090909091,0.02490909090909091,0.006909090909090909,0.007454545454545454,0.006909090909090909,0.035454545454545454,0.006909090909090909,0.0,0.0,0.006909090909090909,0.006909090909090909,0.006909090909090909,0.006909090909090909,0.006909090909090909,0.06872727272727273,0.025272727272727273,0.006909090909090909,0.006909090909090909,0.006909090909090909,0.006909090909090909,0.006909090909090909,0.006909090909090909,0.006909090909090909,0.006909090909090909,0.0,0.006909090909090909
