date,open,close,high,low,amount
2018-01-02,4139.98,4161.65,4197.16,4083.08,49612.48
2018-01-03,4148.42,4229.24,4260.42,4138.52,52019.41
2018-01-04,4260.42,4348.6,4384.79,4248.77,72205.08
2018-01-05,4370.72,4355.86,4399.03,4298.8,39989.07
2018-01-08,4337.07,4433.36,4457.95,4337.07,52204.56
2018-01-09,4433.81,4604.38,4607.09,4433.81,64591.95
2018-01-10,4618.34,4622.34,4640.18,4553.51,47714.24
2018-01-11,4629.6,4560.99,4635.22,4545.18,50656.07
2018-01-12,4555.14,4637.59,4639.73,4517.15,45988.24
2018-01-15,4665.95,4620.42,4697.47,4584.69,52473.13
2018-01-16,4592.9,4550.47,4638.66,4522.67,65428.33
2018-01-17,4533.92,4409.72,4556.44,4356.71,90709.54
2018-01-18,4409.72,4425.53,4505.79,4388.11,58978.51
2018-01-19,4437.69,4422.38,4471.46,4359.58,50925.56
2018-01-22,4431.56,4554.41,4556.44,4431.56,67126.75
2018-01-23,4577.88,4555.2,4590.2,4526.05,49549.18
2018-01-24,4570.17,4502.75,4570.28,4469.77,43298.81
2018-01-25,4483.27,4529.2,4567.69,4427.0,50040.72
2018-01-26,4518.39,4574.56,4575.57,4500.16,43978.33
2018-01-29,4583.22,4344.38,4588.35,4336.95,74535.51
2018-01-30,4342.58,4376.8,4414.45,4308.93,51911.03
2018-01-31,4359.46,4503.2,4543.55,4359.46,60402.41
2018-02-01,4517.04,4464.87,4518.73,4437.8,50582.61
2018-02-02,4433.86,4367.34,4439.55,4280.67,75420.82
2018-02-05,4293.17,4242.58,4308.59,4171.5,98995.85
2018-02-06,4156.86,4189.84,4267.17,4156.86,88168.71
2018-02-07,4252.54,4046.73,4274.37,4038.74,88289.98
2018-02-08,4039.81,4145.55,4241.28,4039.81,83409.43
2018-02-09,4027.43,4046.73,4083.08,3903.61,105578.26
2018-02-12,4089.33,4125.8,4170.93,4056.69,64179.55
2018-02-13,4168.23,4207.4,4223.38,4165.31,53389.18
2018-02-14,4252.54,4243.81,4252.54,4208.75,30652.6
2018-02-22,4293.62,4378.88,4387.6,4270.77,50764.69
2018-02-23,4404.49,4379.05,4458.29,4348.21,38158.77
2018-02-26,4403.81,4384.85,4432.91,4325.81,43658.24
2018-02-27,4415.74,4353.72,4455.14,4349.45,42601.54
2018-02-28,4320.07,4284.16,4378.04,4246.91,48330.67
2018-03-01,4297.56,4376.18,4403.64,4273.75,44794.65
