date,open,close,high,low,amount
2018-01-02,221.81,222.68,225.3,221.33,329725.18
2018-01-03,223.35,220.5,225.94,219.08,428368.33
2018-01-04,221.33,226.09,226.13,220.58,405557.08
2018-01-05,227.25,228.6,229.5,224.06,371854.23
2018-01-08,227.63,227.48,229.88,223.95,367884.8
2018-01-09,228.0,234.3,236.06,225.9,448054.13
2018-01-10,234.71,238.35,241.13,232.13,448966.88
2018-01-11,236.29,234.83,239.55,232.05,316035.28
2018-01-12,234.83,239.25,240.68,233.63,252900.2
2018-01-15,241.2,240.6,246.23,240.0,367225.73
2018-01-16,240.0,240.34,243.11,236.63,289365.28
2018-01-17,240.0,231.56,240.04,230.44,414037.03
2018-01-18,232.5,232.31,235.46,230.63,223781.55
2018-01-19,232.31,229.39,232.91,228.38,313878.69
2018-01-22,230.93,241.61,242.03,230.93,458501.48
2018-01-23,241.43,244.2,246.15,237.11,386472.52
2018-01-24,245.21,237.79,246.19,237.0,326126.54
2018-01-25,239.25,241.13,241.58,232.5,282564.17
2018-01-26,241.13,243.75,246.34,238.24,333516.39
2018-01-29,243.64,235.76,244.43,232.13,467085.83
2018-01-30,234.08,231.6,238.8,230.63,309516.25
2018-01-31,229.99,235.58,237.83,229.5,254072.43
2018-02-01,236.25,233.78,236.63,229.28,380031.98
2018-02-02,232.31,235.88,236.59,230.25,224897.36
2018-02-05,232.16,226.2,234.53,223.13,554639.01
2018-02-06,220.13,219.38,220.54,213.08,880342.48
2018-02-07,222.75,209.21,223.43,208.91,533538.62
2018-02-08,208.5,212.89,215.4,208.16,439782.28
2018-02-09,206.06,206.18,207.94,199.31,603648.4
2018-02-12,206.18,215.33,217.05,206.14,374561.67
2018-02-13,217.65,218.66,223.13,216.3,258920.44
2018-02-14,219.79,224.7,225.38,216.45,219574.39
2018-02-22,229.88,229.28,230.7,225.75,251527.19
2018-02-23,230.44,227.06,230.55,224.63,180501.79
2018-02-26,227.18,227.63,229.84,225.0,246266.25
2018-02-27,227.96,216.0,227.96,215.93,478853.16
2018-02-28,215.06,217.31,220.5,212.63,318721.04
2018-03-01,217.46,219.75,223.09,216.83,237900.09
2018-03-02,216.98,222.08,227.55,216.64,364903.64
2018-03-05,221.66,221.33,223.31,219.45,204171.01
2018-03-06,223.24,222.0,223.84,217.13,195030.43
2018-03-07,222.23,222.23,225.6,220.61,208925.02
2018-03-08,224.51,233.14,233.25,222.75,380518.89
2018-03-09,234.26,235.91,237.71,231.49,394729.38
2018-03-12,239.93,238.99,245.78,237.56,461325.37
2018-03-13,238.88,240.23,244.46,237.23,377823.89
2018-03-14,238.88,237.75,242.36,236.06,272072.16
2018-03-15,235.88,241.54,243.38,235.5,266963.01
2018-03-16,240.38,235.09,241.61,234.38,258105.03
2018-03-19,235.09,234.64,237.3,232.5,211597.83
2018-03-20,232.91,233.78,234.86,229.88,177637.64
2018-03-21,234.86,229.8,236.1,229.8,197251.69
2018-03-22,232.05,224.63,232.13,222.6,329378.31
2018-03-23,216.38,222.15,222.94,212.74,641627.14
2018-03-26,219.38,218.51,221.18,214.13,373098.49
2018-03-27,221.89,216.04,222.68,214.16,471063.61
2018-03-28,211.84,210.45,213.75,206.29,544504.12
2018-03-29,211.58,218.63,220.43,207.38,385947.2
2018-03-30,217.5,215.74,218.85,215.1,308814.66
2018-04-02,211.13,209.4,217.5,208.8,417151.5
2018-04-03,208.84,208.2,212.36,206.93,311895.2
2018-04-04,209.33,210.04,214.13,206.48,371528.21
2018-04-09,209.66,203.63,211.16,202.5,427970.42
2018-04-10,204.19,209.14,209.25,203.18,354240.96
2018-04-11,209.18,209.93,212.36,207.79,467614.31
2018-04-12,209.66,205.76,209.78,205.65,252074.52
2018-04-13,207.75,203.7,208.01,202.54,240215.67
2018-04-16,203.66,197.96,205.5,195.56,444709.74
2018-04-17,197.78,198.34,200.81,193.46,313437.61
2018-04-18,201.0,193.99,201.11,191.06,416079.64
2018-04-19,196.24,204.64,204.64,195.0,433660.15
2018-04-20,205.46,204.0,210.0,202.31,430416.24
2018-04-23,205.88,206.44,209.55,202.5,289044.16
2018-04-24,207.64,212.06,213.26,207.64,373871.15
2018-04-25,211.69,208.58,212.48,205.88,363801.49
2018-04-26,205.05,204.0,207.49,202.09,331102.45
2018-04-27,207.83,205.05,207.83,200.81,403465.69
2018-05-02,203.36,203.81,206.66,200.4,306862.39
2018-05-03,203.06,210.75,210.94,201.86,307890.23
2018-05-04,211.28,207.38,213.45,206.81,302842.88
2018-05-07,208.46,212.25,212.66,206.81,290619.67
2018-05-08,212.36,217.88,219.64,212.33,422795.51
2018-05-09,216.41,218.06,218.63,216.23,174054.05
2018-05-10,219.38,219.68,220.61,217.88,221495.33
2018-05-11,221.25,217.31,221.55,216.6,170190.63
2018-05-14,218.21,222.9,223.61,217.5,323949.61
2018-05-15,223.99,222.83,225.19,220.69,282097.13
2018-05-16,221.59,219.75,222.45,218.29,243427.27
2018-05-17,219.0,214.95,219.38,214.58,228996.93
2018-05-18,215.55,217.84,218.14,212.29,244458.9
2018-05-21,219.68,218.06,220.31,216.41,179497.18
2018-05-22,217.88,213.11,217.88,210.75,351262.89
2018-05-23,212.63,210.0,212.63,209.74,221088.68
2018-05-24,209.96,206.63,210.68,205.69,222461.15
2018-05-25,206.25,205.46,208.61,204.38,261596.3
2018-05-28,206.63,210.53,211.61,204.38,277886.43
2018-05-29,208.88,208.84,211.46,207.98,216606.95
2018-05-30,204.19,205.91,208.58,202.8,269194.28
2018-05-31,207.19,214.16,215.44,206.63,488366.76
2018-06-01,212.63,211.31,214.05,210.53,244886.63
2018-06-04,214.13,218.21,219.38,213.45,487208.67
2018-06-05,221.25,221.89,222.38,217.2,413210.79
2018-06-06,223.01,221.03,223.65,219.79,260084.08
2018-06-07,222.26,219.38,223.16,218.44,264889.57
2018-06-08,218.74,220.73,222.75,218.33,363711.21
2018-06-11,220.73,226.95,228.19,220.58,581583.96
2018-06-12,226.99,230.21,232.31,225.34,585180.81
2018-06-13,230.96,229.46,233.44,228.71,360546.42
2018-06-14,230.25,224.93,231.11,223.54,354846.0
2018-06-15,225.45,226.8,229.31,224.25,310752.41
2018-06-19,222.38,220.58,225.75,217.43,591142.47
2018-06-20,220.58,222.6,224.89,218.85,296507.4
2018-06-21,223.88,219.08,225.94,219.0,307448.09
2018-06-22,217.05,216.94,217.05,212.03,358578.36
2018-06-25,217.13,214.13,218.78,213.98,272065.65
2018-06-26,210.94,211.99,214.5,209.85,302757.01
2018-06-27,212.33,205.05,214.76,205.05,426516.2
2018-06-28,203.44,203.63,207.83,201.41,361035.79
2018-06-29,205.5,211.58,212.25,203.66,291304.09
2018-07-02,210.41,198.3,210.41,195.75,571711.68
2018-07-03,198.38,194.85,199.88,185.93,781290.39
2018-07-04,194.85,184.91,195.26,184.5,596231.06
2018-07-05,190.09,188.44,193.13,187.65,637796.43
2018-07-06,190.43,193.5,195.68,187.5,485874.99
2018-07-09,195.34,199.69,199.88,193.5,365841.56
2018-07-10,200.25,197.63,200.81,193.61,424378.01
2018-07-11,190.91,192.75,194.51,190.01,363145.78
2018-07-12,192.56,195.11,197.63,192.38,432000.92
2018-07-13,195.38,195.15,196.5,193.88,324004.3
2018-07-16,196.84,193.43,198.9,192.23,334770.47
2018-07-17,193.39,190.01,193.43,188.33,396087.62
2018-07-18,190.88,187.88,192.45,187.8,342872.84
2018-07-19,189.41,189.56,190.5,187.31,253851.5
2018-07-20,189.19,190.39,191.63,185.36,500602.92
2018-07-23,189.68,190.43,190.46,187.09,357409.9
2018-07-24,192.0,197.18,197.85,192.0,719360.95
2018-07-25,198.15,194.55,198.19,194.06,396208.8
2018-07-26,195.0,195.15,197.48,194.51,437171.77
2018-07-27,196.24,192.71,196.24,192.45,272495.7
2018-07-30,193.5,193.73,194.55,192.0,264605.52
2018-07-31,192.94,194.29,194.81,192.04,279849.83
2018-08-01,195.38,189.3,196.13,189.0,322612.68
2018-08-02,188.63,181.05,188.63,180.3,660723.3
2018-08-03,180.71,172.8,180.75,171.04,701016.44
2018-08-06,173.29,174.38,176.89,172.5,506085.98
2018-08-07,176.78,183.23,183.53,175.13,498708.44
2018-08-08,184.09,181.31,184.09,180.45,438697.19
2018-08-09,180.98,185.03,187.54,178.88,360492.34
2018-08-10,184.5,184.43,187.24,183.64,280014.15
2018-08-13,183.0,182.96,183.94,180.0,225568.73
2018-08-14,183.26,179.44,183.26,178.69,289261.76
2018-08-15,179.21,173.33,179.21,172.84,414659.49
2018-08-16,170.14,174.45,176.63,169.76,322171.05
2018-08-17,175.65,169.95,176.7,169.58,315827.29
2018-08-20,169.95,172.13,172.13,167.66,299793.63
2018-08-21,173.25,175.35,176.4,171.64,372067.02
2018-08-22,174.38,172.16,175.13,171.41,214734.36
2018-08-23,171.0,170.33,173.44,167.96,337595.46
2018-08-24,169.5,170.93,172.39,168.98,230574.95
2018-08-27,172.69,176.66,176.85,172.13,380328.13
2018-08-28,177.68,178.16,180.38,176.66,331742.35
2018-08-29,177.0,175.16,177.98,174.19,240468.61
2018-08-30,174.9,172.5,176.59,172.28,259554.51
2018-08-31,172.5,171.75,172.58,168.0,391383.83
2018-09-03,171.34,172.24,172.69,169.09,222964.25
2018-09-04,173.25,174.3,175.05,170.06,244930.0
2018-09-05,172.73,169.5,173.25,169.5,236704.45
2018-09-06,168.94,167.03,171.08,166.76,263660.32
2018-09-07,167.81,166.88,170.25,165.6,203971.64
2018-10-29,154.88,151.76,157.8,151.76,981222.44
2018-10-30,143.63,151.99,153.64,143.63,655908.11
2018-10-31,150.23,154.65,154.8,149.1,478648.88
2018-11-01,157.73,160.58,163.2,157.5,497782.81
2018-11-02,169.16,169.43,171.75,165.71,746070.86
2018-11-05,168.79,170.55,170.85,168.11,341637.76
2018-11-06,168.75,166.43,169.88,165.53,334237.66
2018-11-07,166.43,168.68,170.55,164.7,348613.19
2018-11-08,170.59,168.11,171.11,167.63,264456.52
2018-11-09,166.54,164.89,167.66,164.63,240564.23
2018-11-12,164.89,166.28,166.91,162.04,213280.24
2018-11-13,163.88,170.63,171.04,163.13,339184.05
2018-11-14,170.81,168.94,170.89,168.56,181787.84
2018-11-15,168.0,169.91,170.4,167.66,172245.35
2018-11-16,169.91,173.25,175.28,169.13,303139.27
2018-11-19,172.88,174.38,175.13,170.44,207206.84
2018-11-20,172.88,168.75,174.23,166.88,277524.47
