step,N_before,Removed,N_after,Reason
annual_info:年度视图,50706,0,50706,保留 2014–2025 年末；其余行仍保存在 interim
ownership:年度视图,49848,0,49848,保留 2014–2025 年末；其余行仍保存在 interim
income:年度视图,451037,349071,101966,保留 2014–2025 年末；其余行仍保存在 interim
shareholders:年度视图,1870326,1369161,501165,保留 2014–2025 年末；其余行仍保存在 interim
disclosure:年度视图,197324,147367,49957,保留 2014–2025 年末；其余行仍保存在 interim
market:年度视图,49555,0,49555,保留 2014–2025 年末；其余行仍保存在 interim
governance:年度视图,49848,0,49848,保留 2014–2025 年末；其余行仍保存在 interim
cashflow:年度视图,451022,349058,101964,保留 2014–2025 年末；其余行仍保存在 interim
balance:年度视图,451054,349086,101968,保留 2014–2025 年末；其余行仍保存在 interim
2015–2025 候选年度并集,51778,2700,49078,2014 留在支持层
候选 A 股上市期间视图,49078,2059,47019,A 股身份或上市日期未证实、上市前/已知退市后；未纳入行保留在 candidate
