group,value,source,N,unmatched
newly_listed,False,market,43960,53
newly_listed,False,disclosure,43960,255
newly_listed,False,top1,43960,311
newly_listed,False,balance_A,43960,291
newly_listed,False,income_A,43960,291
newly_listed,False,cashflow_A,43960,291
newly_listed,True,market,3059,3
newly_listed,True,disclosure,3059,3
newly_listed,True,top1,3059,43
newly_listed,True,balance_A,3059,0
newly_listed,True,income_A,3059,0
newly_listed,True,cashflow_A,3059,0
delisted_in_year,False,market,193,2
delisted_in_year,False,disclosure,193,3
delisted_in_year,False,top1,193,16
delisted_in_year,False,balance_A,193,11
delisted_in_year,False,income_A,193,11
delisted_in_year,False,cashflow_A,193,11
delisted_in_year,True,market,19,0
delisted_in_year,True,disclosure,19,19
delisted_in_year,True,top1,19,19
delisted_in_year,True,balance_A,19,19
delisted_in_year,True,income_A,19,19
delisted_in_year,True,cashflow_A,19,19
delisted_in_year,<NA>,market,46807,54
delisted_in_year,<NA>,disclosure,46807,236
delisted_in_year,<NA>,top1,46807,319
delisted_in_year,<NA>,balance_A,46807,261
delisted_in_year,<NA>,income_A,46807,261
delisted_in_year,<NA>,cashflow_A,46807,261
financial_industry,False,market,45565,30
financial_industry,False,disclosure,45565,1
financial_industry,False,top1,45565,40
financial_industry,False,balance_A,45565,0
financial_industry,False,income_A,45565,0
financial_industry,False,cashflow_A,45565,0
financial_industry,True,market,1140,4
financial_industry,True,disclosure,1140,0
financial_industry,True,top1,1140,0
financial_industry,True,balance_A,1140,0
financial_industry,True,income_A,1140,0
financial_industry,True,cashflow_A,1140,0
financial_industry,<NA>,market,314,22
financial_industry,<NA>,disclosure,314,257
financial_industry,<NA>,top1,314,314
financial_industry,<NA>,balance_A,314,291
financial_industry,<NA>,income_A,314,291
financial_industry,<NA>,cashflow_A,314,291
st_source,False,market,45417,27
st_source,False,disclosure,45417,1
st_source,False,top1,45417,40
st_source,False,balance_A,45417,0
st_source,False,income_A,45417,0
st_source,False,cashflow_A,45417,0
st_source,True,market,1288,7
st_source,True,disclosure,1288,0
st_source,True,top1,1288,0
st_source,True,balance_A,1288,0
st_source,True,income_A,1288,0
st_source,True,cashflow_A,1288,0
st_source,<NA>,market,314,22
st_source,<NA>,disclosure,314,257
st_source,<NA>,top1,314,314
st_source,<NA>,balance_A,314,291
st_source,<NA>,income_A,314,291
st_source,<NA>,cashflow_A,314,291
