treat,year,cost
0,2013,6.027496582206308
0,2014,5.963913325814292
0,2015,5.854666521850227
0,2016,5.795852536505375
0,2017,5.724873617714695
0,2018,5.6445482597338
0,2019,5.540585888531933
0,2020,5.482040378778644
0,2021,5.389327626889693
0,2022,5.317575763674817
1,2013,6.311543241667369
1,2014,6.231718102845617
1,2015,6.156336770499841
1,2016,6.069541610937072
1,2017,5.999017668148841
1,2018,5.518130282477038
1,2019,5.426681566519139
1,2020,5.326326847868541
1,2021,5.262394307876686
1,2022,5.200453818361143
