date,open,close,high,low,amount
2018-01-02,87.54,88.8,89.12,87.54,1393284.57
2018-01-03,88.47,89.49,90.46,88.43,1519669.0
2018-01-04,89.61,89.73,90.42,88.92,1147914.54
2018-01-05,89.77,90.58,91.43,89.41,1728848.68
2018-01-08,91.07,93.25,94.31,90.7,2489706.42
2018-01-09,93.29,92.85,94.59,92.2,1439193.89
2018-01-10,92.97,93.54,94.06,92.0,1502584.82
2018-01-11,92.93,92.2,93.29,91.55,1133795.4
2018-01-12,92.08,92.4,93.42,91.55,1046038.04
2018-01-15,92.08,92.89,93.86,90.99,2241354.32
2018-01-16,92.12,96.13,96.62,91.84,2330733.15
2018-01-17,97.14,98.92,102.77,97.14,4978876.81
2018-01-18,99.77,100.83,101.76,98.76,2956692.19
2018-01-19,100.62,100.34,102.61,98.84,3630176.65
2018-01-22,99.57,99.98,100.95,98.92,1809997.44
2018-01-23,100.67,100.02,102.65,98.76,3356645.03
2018-01-24,100.79,106.94,107.06,99.77,5070885.83
2018-01-25,105.24,104.55,106.66,104.19,3173316.94
2018-01-26,104.55,104.59,106.21,104.07,2519974.88
2018-01-29,105.12,103.66,106.17,103.26,2644808.43
2018-01-30,102.85,101.72,104.59,101.31,2451539.96
2018-01-31,100.99,100.34,102.0,98.92,2472534.08
2018-02-01,100.79,101.19,101.43,99.21,2786750.87
2018-02-02,99.9,101.27,101.72,98.4,2010010.39
2018-02-05,99.21,102.37,102.65,99.0,2208919.63
2018-02-06,100.14,97.34,101.68,96.66,3364727.49
2018-02-07,99.05,93.29,99.25,93.13,2679636.57
2018-02-08,93.01,92.04,94.1,91.31,1847440.75
2018-02-09,89.37,84.38,90.01,84.26,3478271.31
2018-02-12,84.67,84.3,85.19,83.45,1619696.25
2018-02-13,85.03,85.48,87.18,84.87,2035418.51
2018-02-14,85.4,85.52,85.68,84.3,1036877.1
2018-02-22,86.98,87.06,87.5,86.0,1560165.18
2018-02-23,87.42,87.79,88.84,86.73,1585053.34
2018-02-26,88.64,89.65,90.58,87.06,2119920.34
2018-02-27,89.45,88.03,89.49,87.58,1550422.08
2018-02-28,87.22,87.46,88.47,86.17,1585728.12
2018-03-01,86.57,87.54,88.03,86.21,1115791.06
2018-03-02,86.61,86.33,87.54,86.25,899891.28
2018-03-05,86.33,86.49,87.3,86.25,694798.07
2018-03-06,87.14,88.72,88.92,86.53,1772032.2
2018-03-07,88.23,88.11,89.69,87.83,1275174.07
2018-03-08,88.23,88.6,88.68,87.66,797843.63
2018-03-09,88.84,90.5,90.86,88.39,1673599.62
2018-03-12,91.27,92.28,92.81,90.66,1913708.76
2018-03-13,91.88,90.86,91.96,90.62,1096966.23
2018-03-14,90.22,89.85,91.11,89.61,885779.75
2018-03-15,89.45,90.26,90.62,89.28,777289.37
2018-03-16,90.14,88.39,90.82,88.23,1039978.7
2018-03-19,88.56,89.2,89.89,87.83,939978.27
2018-03-20,88.35,89.77,90.09,87.99,916879.72
2018-03-21,89.85,89.04,91.55,88.84,1503518.51
2018-03-22,89.85,90.09,91.59,89.33,1509102.91
2018-03-23,87.34,85.8,88.68,84.95,2104342.1
2018-03-26,84.79,87.1,87.26,84.79,1105871.8
2018-03-27,88.23,88.31,88.76,87.46,1185303.51
2018-03-28,87.42,86.45,88.27,86.29,1027639.61
2018-03-29,87.1,88.27,88.52,86.25,1444534.51
2018-03-30,88.64,89.37,89.69,88.23,1302674.38
2018-04-02,90.09,90.78,92.48,89.53,1967082.35
2018-04-03,89.73,91.92,92.16,89.57,1777341.72
2018-04-04,92.08,91.11,92.61,91.07,1498178.64
2018-04-09,91.07,92.44,92.48,90.66,1364115.14
