date,open,close,high,low,amount
2018-01-02,1181.19,1186.46,1192.29,1155.24,315252.33
2018-01-03,1185.35,1190.9,1202.84,1176.33,284614.26
2018-01-04,1189.38,1219.91,1228.52,1186.74,360577.06
2018-01-05,1216.86,1215.61,1226.3,1197.84,231958.09
2018-01-08,1214.36,1208.95,1228.52,1200.62,286818.34
2018-01-09,1211.72,1263.08,1263.08,1211.17,388364.6
2018-01-10,1268.49,1301.94,1305.54,1247.95,342458.66
2018-01-11,1299.72,1288.89,1314.15,1280.15,254778.62
2018-01-12,1288.89,1336.22,1341.49,1284.17,320923.56
2018-01-15,1333.86,1341.49,1361.34,1326.64,379644.08
2018-01-16,1325.67,1328.58,1351.9,1315.4,366155.22
2018-01-17,1321.37,1261.83,1332.75,1256.83,496108.96
2018-01-18,1265.99,1267.24,1294.3,1238.09,429700.9
2018-01-19,1267.24,1250.17,1273.9,1238.23,382003.65
2018-01-22,1257.11,1323.03,1324.14,1257.11,445823.53
2018-01-23,1323.03,1313.18,1328.31,1295.14,384681.66
2018-01-24,1311.37,1280.42,1311.37,1270.85,349695.75
2018-01-25,1270.01,1261.69,1276.82,1236.43,421128.92
2018-01-26,1254.75,1273.35,1286.25,1249.47,312053.75
2018-01-29,1270.01,1207.28,1270.01,1202.01,591383.27
2018-01-30,1193.68,1197.84,1221.16,1180.08,374621.77
2018-01-31,1196.73,1239.2,1249.06,1196.73,417881.43
2018-02-01,1228.38,1219.77,1231.85,1194.79,445689.53
2018-02-02,1208.25,1210.06,1232.26,1188.54,348582.28
2018-02-05,1168.84,1148.85,1174.25,1111.38,713302.26
2018-02-06,1122.9,1129.0,1147.19,1107.63,541969.19
2018-02-07,1144.96,1053.78,1152.04,1041.29,703814.93
2018-02-08,1051.42,1067.66,1093.47,1051.42,544906.99
2018-02-09,1028.8,1056.28,1059.05,997.01,588920.94
2018-02-12,1067.38,1100.69,1109.02,1067.38,446022.48
2018-02-13,1110.27,1110.41,1136.08,1109.02,283840.41
2018-02-14,1124.29,1131.22,1132.06,1102.36,208043.03
2018-02-22,1147.88,1179.8,1181.61,1145.1,290978.29
2018-02-23,1178.55,1173.42,1192.01,1157.87,189117.04
2018-02-26,1172.86,1157.87,1177.72,1136.78,320269.64
2018-02-27,1164.4,1124.29,1165.92,1121.51,290749.02
2018-02-28,1095.14,1099.03,1119.84,1081.26,330101.9
2018-03-01,1092.36,1099.58,1115.4,1088.62,254649.28
2018-03-02,1092.36,1087.09,1106.24,1074.32,246606.97
2018-03-05,1092.5,1068.63,1101.8,1067.52,211151.32
2018-03-06,1077.93,1084.59,1085.56,1039.9,406942.35
2018-03-07,1084.59,1085.15,1110.13,1081.26,283760.8
2018-03-08,1092.22,1135.39,1136.22,1085.42,395204.11
2018-03-09,1140.94,1138.16,1156.07,1125.4,245528.54
2018-03-12,1145.1,1124.98,1147.88,1115.4,242334.36
2018-03-13,1126.23,1103.61,1136.64,1102.08,231137.6
2018-03-14,1095.14,1116.65,1118.32,1082.65,240224.56
2018-03-15,1118.46,1150.66,1154.54,1118.32,373403.76
2018-03-16,1153.43,1134.97,1160.93,1134.28,205189.37
2018-03-19,1127.62,1146.63,1152.74,1122.9,210195.73
